num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency,tie_frequency
33,3,0.9155,0.9155,0.0,0.0,0.0,0.0,0.0
34,3,0.8038,0.963,0.1557,0.0035,0.0,0.0,0.1352
35,3,0.9189,0.9189,0.0,0.0,0.0,0.0,0.0
36,3,0.8113,0.9651,0.151,0.0028,0.0,0.0,0.1319
37,3,0.9175,0.9175,0.0,0.0,0.0,0.0,0.0
38,3,0.8082,0.9608,0.15,0.0026,0.0,0.0,0.1288
39,3,0.9141,0.9141,0.0,0.0,0.0,0.0,0.0
40,3,0.8164,0.9627,0.1438,0.0025,0.0,0.0,0.1246
41,3,0.9117,0.9117,0.0,0.0,0.0,0.0,0.0
42,3,0.8121,0.9619,0.147,0.0028,0.0,0.0,0.1238
43,3,0.9195,0.9195,0.0,0.0,0.0,0.0,0.0
44,3,0.8185,0.9595,0.1388,0.0022,0.0,0.0,0.1191
45,3,0.9141,0.9141,0.0,0.0,0.0,0.0,0.0
46,3,0.8264,0.9581,0.1297,0.002,0.0,0.0,0.1159
47,3,0.916,0.916,0.0,0.0,0.0,0.0,0.0
48,3,0.8241,0.9611,0.1351,0.0019,0.0,0.0,0.1173
49,3,0.9191,0.9191,0.0,0.0,0.0,0.0,0.0
50,3,0.8276,0.9563,0.1275,0.0012,0.0,0.0,0.1101
51,3,0.9087,0.9087,0.0,0.0,0.0,0.0,0.0
52,3,0.8316,0.9591,0.1248,0.0027,0.0,0.0,0.1106
53,3,0.91,0.91,0.0,0.0,0.0,0.0,0.0
54,3,0.8364,0.9597,0.121,0.0023,0.0,0.0,0.1061
55,3,0.916,0.916,0.0,0.0,0.0,0.0,0.0
56,3,0.827,0.9544,0.1256,0.0018,0.0,0.0,0.1114
57,3,0.9092,0.9092,0.0,0.0,0.0,0.0,0.0
58,3,0.8326,0.9537,0.1196,0.0015,0.0,0.0,0.1055
59,3,0.9062,0.9062,0.0,0.0,0.0,0.0,0.0
60,3,0.8379,0.9581,0.1182,0.002,0.0,0.0,0.1038
61,3,0.9123,0.9123,0.0,0.0,0.0,0.0,0.0
62,3,0.8398,0.9555,0.1144,0.0013,0.0,0.0,0.1002
63,3,0.9169,0.9169,0.0,0.0,0.0,0.0,0.0
64,3,0.8391,0.9528,0.1127,0.001,0.0,0.0,0.099
65,3,0.91,0.91,0.0,0.0,0.0,0.0,0.0
66,3,0.8314,0.9511,0.1186,0.0011,0.0,0.0,0.1007
67,3,0.9088,0.9088,0.0,0.0,0.0,0.0,0.0
68,3,0.8397,0.952,0.1109,0.0014,0.0,0.0,0.0991
69,3,0.9182,0.9182,0.0,0.0,0.0,0.0,0.0
70,3,0.8416,0.9534,0.1107,0.0011,0.0,0.0,0.0974
71,3,0.9146,0.9146,0.0,0.0,0.0,0.0,0.0
72,3,0.8432,0.947,0.1029,0.0009,0.0,0.0,0.0934
73,3,0.9119,0.9119,0.0,0.0,0.0,0.0,0.0
74,3,0.8441,0.9522,0.107,0.0011,0.0,0.0,0.0939
75,3,0.9102,0.9102,0.0,0.0,0.0,0.0,0.0
76,3,0.8553,0.9553,0.0991,0.0009,0.0,0.0,0.0927
77,3,0.9123,0.9123,0.0,0.0,0.0,0.0,0.0
78,3,0.8535,0.9514,0.0973,0.0006,0.0,0.0,0.0874
79,3,0.9098,0.9098,0.0,0.0,0.0,0.0,0.0
80,3,0.8485,0.9491,0.0996,0.001,0.0,0.0,0.0895
81,3,0.9102,0.9102,0.0,0.0,0.0,0.0,0.0
82,3,0.8459,0.9467,0.0998,0.001,0.0,0.0,0.0895
83,3,0.9148,0.9148,0.0,0.0,0.0,0.0,0.0
84,3,0.8492,0.9491,0.0992,0.0007,0.0,0.0,0.0866
85,3,0.9141,0.9141,0.0,0.0,0.0,0.0,0.0
86,3,0.8605,0.9511,0.0901,0.0005,0.0,0.0,0.0828
87,3,0.9106,0.9106,0.0,0.0,0.0,0.0,0.0
88,3,0.8513,0.9478,0.0955,0.001,0.0,0.0,0.086
89,3,0.9162,0.9162,0.0,0.0,0.0,0.0,0.0
90,3,0.8541,0.9501,0.0954,0.0006,0.0,0.0,0.0866
91,3,0.9115,0.9115,0.0,0.0,0.0,0.0,0.0
92,3,0.8569,0.9468,0.0897,0.0002,0.0,0.0,0.082
93,3,0.9123,0.9123,0.0,0.0,0.0,0.0,0.0
94,3,0.8608,0.9498,0.0887,0.0003,0.0,0.0,0.0798
95,3,0.9137,0.9137,0.0,0.0,0.0,0.0,0.0
96,3,0.8553,0.9476,0.0914,0.0009,0.0,0.0,0.0825
97,3,0.9139,0.9139,0.0,0.0,0.0,0.0,0.0
98,3,0.8568,0.9481,0.09,0.0013,0.0,0.0,0.0821
99,3,0.9117,0.9117,0.0,0.0,0.0,0.0,0.0
100,3,0.861,0.944,0.0826,0.0004,0.0,0.0,0.0769
5,4,0.8616,0.8616,0.0,0.0,0.0,0.0,0.0
6,4,0.5322,0.9917,0.3966,0.06,0.0029,0.0,0.3175
7,4,0.8519,0.8519,0.0,0.0,0.0,0.0,0.0
8,4,0.6048,0.9857,0.3388,0.0411,0.001,0.0,0.273
9,4,0.847,0.847,0.0,0.0,0.0,0.0,0.0
10,4,0.6364,0.9734,0.309,0.0276,0.0004,0.0,0.248
11,4,0.842,0.842,0.0,0.0,0.0,0.0,0.0
12,4,0.672,0.9682,0.2745,0.0215,0.0002,0.0,0.2268
13,4,0.837,0.837,0.0,0.0,0.0,0.0,0.0
14,4,0.6836,0.9602,0.2586,0.0178,0.0002,0.0,0.2122
15,4,0.841,0.841,0.0,0.0,0.0,0.0,0.0
16,4,0.7018,0.9557,0.2403,0.0134,0.0002,0.0,0.1974
17,4,0.8398,0.8398,0.0,0.0,0.0,0.0,0.0
18,4,0.7118,0.9505,0.226,0.0127,0.0,0.0,0.1858
19,4,0.8362,0.8362,0.0,0.0,0.0,0.0,0.0
20,4,0.7272,0.9444,0.2061,0.011,0.0001,0.0,0.1756
21,4,0.8347,0.8347,0.0,0.0,0.0,0.0,0.0
22,4,0.7301,0.9376,0.1982,0.0093,0.0,0.0,0.1668
23,4,0.8344,0.8344,0.0,0.0,0.0,0.0,0.0
24,4,0.7447,0.9352,0.1842,0.0062,0.0001,0.0,0.16
25,4,0.8263,0.8263,0.0,0.0,0.0,0.0,0.0
26,4,0.7511,0.9342,0.1774,0.0057,0.0,0.0,0.1556
27,4,0.8349,0.8349,0.0,0.0,0.0,0.0,0.0
28,4,0.759,0.9351,0.1708,0.0052,0.0001,0.0,0.1499
29,4,0.8276,0.8276,0.0,0.0,0.0,0.0,0.0
30,4,0.7625,0.9294,0.1617,0.0051,0.0001,0.0,0.1431
31,4,0.8253,0.8253,0.0,0.0,0.0,0.0,0.0
32,4,0.7679,0.9267,0.1546,0.0042,0.0,0.0,0.1402
33,4,0.8392,0.8392,0.0,0.0,0.0,0.0,0.0
34,4,0.7735,0.9243,0.1462,0.0046,0.0,0.0,0.1347
35,4,0.8267,0.8267,0.0,0.0,0.0,0.0,0.0
36,4,0.7792,0.9257,0.1421,0.0043,0.0001,0.0,0.1306
37,4,0.8252,0.8252,0.0,0.0,0.0,0.0,0.0
38,4,0.7827,0.9233,0.1367,0.0039,0.0,0.0,0.1285
39,4,0.829,0.829,0.0,0.0,0.0,0.0,0.0
40,4,0.7779,0.9162,0.1355,0.0028,0.0,0.0,0.1238
41,4,0.8215,0.8215,0.0,0.0,0.0,0.0,0.0
42,4,0.7717,0.9158,0.1411,0.003,0.0,0.0,0.1228
43,4,0.8276,0.8276,0.0,0.0,0.0,0.0,0.0
44,4,0.7689,0.909,0.1367,0.0034,0.0,0.0,0.12
