num_voters,num_alternatives,identical_winners_frequency,same_number_of_winners_frequency
26,4,0.5423,0.8871
27,4,0.5409,0.8848
28,4,0.5408,0.8676
29,4,0.5524,0.8927
30,4,0.5398,0.8822
31,4,0.5548,0.8902
32,4,0.5555,0.8888
33,4,0.5568,0.8994
34,4,0.5492,0.8999
35,4,0.5453,0.8975
36,4,0.5436,0.8901
37,4,0.5552,0.9046
38,4,0.5473,0.8989
39,4,0.5555,0.9019
40,4,0.5595,0.8986
41,4,0.5495,0.9071
42,4,0.5458,0.901
43,4,0.5569,0.9074
44,4,0.5536,0.9021
45,4,0.5549,0.9105
46,4,0.5558,0.9114
47,4,0.5594,0.9154
48,4,0.5452,0.9086
49,4,0.5487,0.9107
50,4,0.5606,0.9179
51,4,0.5513,0.9155
52,4,0.5628,0.9146
53,4,0.5619,0.9214
54,4,0.5627,0.9196
55,4,0.5609,0.921
56,4,0.5617,0.9179
57,4,0.5727,0.927
58,4,0.5534,0.9244
59,4,0.5589,0.919
60,4,0.5678,0.9233
61,4,0.5636,0.923
62,4,0.553,0.9266
63,4,0.5692,0.9255
64,4,0.564,0.9234
65,4,0.561,0.921
66,4,0.5508,0.9239
67,4,0.5594,0.9289
68,4,0.5695,0.9276
69,4,0.575,0.9335
70,4,0.5651,0.9325
71,4,0.5731,0.9335
72,4,0.5639,0.9251
73,4,0.5585,0.9285
74,4,0.5734,0.9343
75,4,0.5624,0.9277
76,4,0.5681,0.9305
77,4,0.5613,0.9374
78,4,0.5661,0.932
79,4,0.5684,0.9349
80,4,0.5761,0.9304
81,4,0.5641,0.9364
82,4,0.5647,0.9337
83,4,0.5768,0.9403
84,4,0.5681,0.94
85,4,0.5613,0.9358
86,4,0.5697,0.9382
87,4,0.5678,0.9376
88,4,0.5647,0.9307
89,4,0.569,0.9425
90,4,0.5658,0.9407
91,4,0.5741,0.9398
92,4,0.5674,0.937
93,4,0.571,0.9404
94,4,0.5686,0.9359
95,4,0.5603,0.9383
96,4,0.566,0.9375
97,4,0.5631,0.9382
98,4,0.5737,0.9448
99,4,0.5806,0.9468
100,4,0.5605,0.9368
5,5,0.4368,0.7824
6,5,0.3839,0.6883
7,5,0.4556,0.8904
8,5,0.4227,0.7534
9,5,0.435,0.8749
10,5,0.4359,0.8168
11,5,0.4603,0.8963
12,5,0.4483,0.8415
13,5,0.4449,0.8697
14,5,0.4462,0.8499
15,5,0.4494,0.8692
16,5,0.4502,0.8701
17,5,0.4538,0.8742
18,5,0.4531,0.8795
19,5,0.4619,0.8976
20,5,0.4553,0.8866
21,5,0.456,0.8967
22,5,0.4564,0.8929
23,5,0.4659,0.9056
24,5,0.4552,0.8925
25,5,0.4608,0.8943
26,5,0.4714,0.9051
27,5,0.468,0.9093
28,5,0.4603,0.9038
29,5,0.4561,0.9123
30,5,0.4671,0.9063
31,5,0.4644,0.912
32,5,0.4689,0.9112
33,5,0.4709,0.9177
34,5,0.468,0.9164
35,5,0.4728,0.9126
36,5,0.4719,0.9185
37,5,0.4724,0.919
38,5,0.4764,0.9219
39,5,0.4736,0.9217
40,5,0.4738,0.924
41,5,0.478,0.9255
42,5,0.4787,0.9291
43,5,0.468,0.9244
44,5,0.4692,0.9251
45,5,0.4747,0.9241
46,5,0.4718,0.9294
47,5,0.4806,0.931
48,5,0.4842,0.9338
49,5,0.4776,0.9333
50,5,0.4779,0.933
51,5,0.472,0.9328
52,5,0.4647,0.9305
53,5,0.4806,0.9358
54,5,0.4762,0.934
55,5,0.4587,0.9265
56,5,0.4778,0.9331
57,5,0.4701,0.9331
58,5,0.4712,0.936
59,5,0.477,0.9425
60,5,0.482,0.9376
61,5,0.4795,0.9356
62,5,0.4735,0.9358
63,5,0.4757,0.936
64,5,0.4797,0.9423
65,5,0.4698,0.9381
66,5,0.4695,0.9384
67,5,0.4791,0.9439
68,5,0.4718,0.9403
69,5,0.4808,0.9432
