num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency
17,3,0.9437,1.0,0.0563,0.0,0.0,0.0
18,3,0.9061,1.0,0.0472,0.0467,0.0,0.0
19,3,0.9627,1.0,0.0373,0.0,0.0,0.0
20,3,0.9316,1.0,0.0684,0.0,0.0,0.0
21,3,0.8952,1.0,0.0647,0.0401,0.0,0.0
22,3,0.9354,1.0,0.0646,0.0,0.0,0.0
23,3,0.9441,1.0,0.0559,0.0,0.0,0.0
24,3,0.9206,1.0,0.0432,0.0362,0.0,0.0
25,3,0.96,1.0,0.04,0.0,0.0,0.0
26,3,0.9457,1.0,0.0543,0.0,0.0,0.0
27,3,0.908,1.0,0.0613,0.0307,0.0,0.0
28,3,0.9447,1.0,0.0553,0.0,0.0,0.0
29,3,0.954,1.0,0.046,0.0,0.0,0.0
30,3,0.9254,1.0,0.0432,0.0314,0.0,0.0
31,3,0.9609,1.0,0.0391,0.0,0.0,0.0
32,3,0.9505,1.0,0.0495,0.0,0.0,0.0
33,3,0.921,1.0,0.0561,0.0229,0.0,0.0
34,3,0.9497,1.0,0.0503,0.0,0.0,0.0
35,3,0.9576,1.0,0.0424,0.0,0.0,0.0
36,3,0.9394,1.0,0.0391,0.0215,0.0,0.0
37,3,0.9676,1.0,0.0324,0.0,0.0,0.0
38,3,0.9544,1.0,0.0456,0.0,0.0,0.0
39,3,0.9331,1.0,0.0476,0.0193,0.0,0.0
40,3,0.9533,1.0,0.0467,0.0,0.0,0.0
41,3,0.9582,1.0,0.0418,0.0,0.0,0.0
42,3,0.9452,1.0,0.0368,0.018,0.0,0.0
43,3,0.9674,1.0,0.0326,0.0,0.0,0.0
44,3,0.9588,1.0,0.0412,0.0,0.0,0.0
45,3,0.9401,1.0,0.0418,0.0181,0.0,0.0
46,3,0.9563,1.0,0.0437,0.0,0.0,0.0
47,3,0.9579,1.0,0.0421,0.0,0.0,0.0
48,3,0.9411,1.0,0.0398,0.0191,0.0,0.0
49,3,0.9685,1.0,0.0315,0.0,0.0,0.0
50,3,0.9588,1.0,0.0412,0.0,0.0,0.0
51,3,0.9452,1.0,0.041,0.0138,0.0,0.0
52,3,0.9563,1.0,0.0437,0.0,0.0,0.0
53,3,0.9625,1.0,0.0375,0.0,0.0,0.0
54,3,0.948,0.9999999999999999,0.0368,0.0152,0.0,0.0
55,3,0.9712,1.0,0.0288,0.0,0.0,0.0
56,3,0.9605,1.0,0.0395,0.0,0.0,0.0
57,3,0.9491,1.0,0.0393,0.0116,0.0,0.0
58,3,0.9618,1.0,0.0382,0.0,0.0,0.0
59,3,0.96,1.0,0.04,0.0,0.0,0.0
60,3,0.9515,1.0,0.0356,0.0129,0.0,0.0
61,3,0.97,1.0,0.03,0.0,0.0,0.0
